,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
0,flat,signature global park 4,sector 36,0.82,7586.0,3.0,2.0,2,2.0,New Property,1700.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"28.4160° N, 76.9914° E",28.416,76.9914
1,flat,smart world gems,sector 89,0.95,8597.0,2.0,2.0,2,4.0,New Property,1225.56,1.0,1.0,0.0,0.0,0.0,0.0,38.0,"28.4253° N, 76.9439° E",28.4253,76.9439
2,flat,bestech park view sanskruti,sector 92,1.6,8020.0,3.0,4.0,3+,10.0,Relatively New,1615.0,0.0,1.0,0.0,0.0,1.0,1.0,174.0,"28.4079° N, 76.9153° E",28.4079,76.9153
3,flat,suncity avenue,sector 102,0.48,9023.0,2.0,2.0,1,5.0,Relatively New,1163.06,0.0,0.0,1.0,0.0,0.0,0.0,159.0,"28.4750° N, 76.9715° E",28.475,76.9715
4,flat,paras quartier,gwal pahari,7.5,14019.0,4.0,4.0,3+,20.0,New Property,4841.63,0.0,1.0,0.0,1.0,1.0,1.0,49.0,"28.4484° N, 77.0210° E",28.4484,77.021
5,flat,experion the heartsong,sector 108,2.0,8554.0,3.0,3.0,3+,14.0,Relatively New,2115.84,0.0,1.0,0.0,0.0,0.0,0.0,95.0,"28.5134° N, 76.9830° E",28.5134,76.983
6,flat,adani m2k oyster grande,sector 102,1.9,9104.0,3.0,4.0,3,8.0,Relatively New,1709.5,0.0,1.0,0.0,0.0,0.0,0.0,165.0,"28.4750° N, 76.9715° E",28.475,76.9715
7,house,independent,sector 105,1.2,10118.0,3.0,2.0,1,2.0,Old Property,1185.51,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"28.4952° N, 77.0114° E",28.4952,77.0114
8,house,dlf city phase 1,sector 26,4.5,33333.0,3.0,3.0,2,2.0,Moderately Old,1350.0,1.0,1.0,0.0,0.0,0.0,0.0,70.0,"28.4757° N, 77.1032° E",28.4757,77.1032
9,house,independent,sector 109,1.55,6568.0,3.0,2.0,0,1.0,Relatively New,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.5073° N, 77.0089° E",28.5073,77.0089
10,flat,dlf regency park,sector 28,1.6,14545.0,2.0,2.0,2,3.0,Relatively New,1222.22,0.0,0.0,0.0,0.0,0.0,0.0,52.0,"28.4728° N, 77.0865° E",28.4728,77.0865
11,flat,ats tourmaline,sector 109,2.25,8704.0,3.0,4.0,3,14.0,Relatively New,2339.37,0.0,1.0,0.0,0.0,0.0,0.0,101.0,"28.5073° N, 77.0089° E",28.5073,77.0089
12,flat,emaar mgf emerald floors premier,sector 65,2.77,14025.0,4.0,4.0,3+,3.0,Relatively New,2194.44,1.0,1.0,0.0,0.0,0.0,2.0,174.0,"28.4030° N, 77.0690° E",28.403,77.069
13,house,independent,sector 12,1.2,14184.0,2.0,4.0,2,2.0,Relatively New,846.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,"28.4723° N, 77.0320° E",28.4723,77.032
